Short_Name,Collection,Keyword,Spatial_Resolution (m),Temporal_Resolution,Path,Time_lag[d],Number of Attributes,Attribute_0,Attribute_1,Attribute_2,Attribute_3,Attribute_4,Attribute_5,Attribute_6,Attribute_7,Attribute_8,Attribute_9,Attribute_10,Attribute_11,Attribute_12,Attribute_13,Attribute_14,Attribute_15,Attribute_16,Attribute_17,Attribute_18,Attribute_19,Attribute_20,Attribute_21,Attribute_22,Attribute_23,Attribute_24,Attribute_25,Attribute_26,Attribute_27,Attribute_28,Attribute_29,Attribute_30,Attribute_31,Attribute_32,Attribute_33,Attribute_34,Attribute_35,Attribute_36,Attribute_37,Attribute_38,Attribute_39,Attribute_40,Attribute_41,Attribute_42,Attribute_43,Attribute_44,Attribute_45,Attribute_46,Attribute_47,Attribute_48,Attribute_49,Attribute_50,Attribute_51,Attribute_52,Attribute_53,Attribute_54,Attribute_55,Attribute_56,Attribute_57,Attribute_58,Attribute_59,Attribute_60,Attribute_61,Attribute_62,Attribute_63,Attribute_64,Attribute_65,Attribute_66,Attribute_67,Attribute_68,Attribute_69,Attribute_70,Attribute_71,Attribute_72,Attribute_73,Attribute_74
MCD43A1.006,Combined MODIS,"Albedo, Bidirectional Reflectance Distribution Function (BRDF)",500,Daily,MOTA,8,20.0,[2400x2400] BRDF_Albedo_Band_Mandatory_Quality_Band1 MOD_Grid_BRDF (8-bit unsigned integer),[2400x2400] BRDF_Albedo_Band_Mandatory_Quality_Band2 MOD_Grid_BRDF (8-bit unsigned integer),[2400x2400] BRDF_Albedo_Band_Mandatory_Quality_Band3 MOD_Grid_BRDF (8-bit unsigned integer),[2400x2400] BRDF_Albedo_Band_Mandatory_Quality_Band4 MOD_Grid_BRDF (8-bit unsigned integer),[2400x2400] BRDF_Albedo_Band_Mandatory_Quality_Band5 MOD_Grid_BRDF (8-bit unsigned integer),[2400x2400] BRDF_Albedo_Band_Mandatory_Quality_Band6 MOD_Grid_BRDF (8-bit unsigned integer),[2400x2400] BRDF_Albedo_Band_Mandatory_Quality_Band7 MOD_Grid_BRDF (8-bit unsigned integer),[2400x2400] BRDF_Albedo_Band_Mandatory_Quality_vis MOD_Grid_BRDF (8-bit unsigned integer),[2400x2400] BRDF_Albedo_Band_Mandatory_Quality_nir MOD_Grid_BRDF (8-bit unsigned integer),[2400x2400] BRDF_Albedo_Band_Mandatory_Quality_shortwave MOD_Grid_BRDF (8-bit unsigned integer),[2400x2400x3] BRDF_Albedo_Parameters_Band1 MOD_Grid_BRDF (16-bit integer),[2400x2400x3] BRDF_Albedo_Parameters_Band2 MOD_Grid_BRDF (16-bit integer),[2400x2400x3] BRDF_Albedo_Parameters_Band3 MOD_Grid_BRDF (16-bit integer),[2400x2400x3] BRDF_Albedo_Parameters_Band4 MOD_Grid_BRDF (16-bit integer),[2400x2400x3] BRDF_Albedo_Parameters_Band5 MOD_Grid_BRDF (16-bit integer),[2400x2400x3] BRDF_Albedo_Parameters_Band6 MOD_Grid_BRDF (16-bit integer),[2400x2400x3] BRDF_Albedo_Parameters_Band7 MOD_Grid_BRDF (16-bit integer),[2400x2400x3] BRDF_Albedo_Parameters_vis MOD_Grid_BRDF (16-bit integer),[2400x2400x3] BRDF_Albedo_Parameters_nir MOD_Grid_BRDF (16-bit integer),[2400x2400x3] BRDF_Albedo_Parameters_shortwave MOD_Grid_BRDF (16-bit integer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43A2.006,Combined MODIS,"Albedo, Bidirectional Reflectance Distribution Function (BRDF)",500,Daily,MOTA,9,19.0,[2400x2400] Snow_BRDF_Albedo MOD_Grid_BRDF (8-bit unsigned integer),[2400x2400] BRDF_Albedo_Platform MOD_Grid_BRDF (8-bit unsigned integer),[2400x2400] BRDF_Albedo_LandWaterType MOD_Grid_BRDF (8-bit unsigned integer),[2400x2400] BRDF_Albedo_LocalSolarNoon MOD_Grid_BRDF (8-bit unsigned integer),[2400x2400] BRDF_Albedo_ValidObs_Band1 MOD_Grid_BRDF (16-bit unsigned integer),[2400x2400] BRDF_Albedo_ValidObs_Band2 MOD_Grid_BRDF (16-bit unsigned integer),[2400x2400] BRDF_Albedo_ValidObs_Band3 MOD_Grid_BRDF (16-bit unsigned integer),[2400x2400] BRDF_Albedo_ValidObs_Band4 MOD_Grid_BRDF (16-bit unsigned integer),[2400x2400] BRDF_Albedo_ValidObs_Band5 MOD_Grid_BRDF (16-bit unsigned integer),[2400x2400] BRDF_Albedo_ValidObs_Band6 MOD_Grid_BRDF (16-bit unsigned integer),[2400x2400] BRDF_Albedo_ValidObs_Band7 MOD_Grid_BRDF (16-bit unsigned integer),[2400x2400] BRDF_Albedo_Band_Quality_Band1 MOD_Grid_BRDF (8-bit unsigned integer),[2400x2400] BRDF_Albedo_Band_Quality_Band2 MOD_Grid_BRDF (8-bit unsigned integer),[2400x2400] BRDF_Albedo_Band_Quality_Band3 MOD_Grid_BRDF (8-bit unsigned integer),[2400x2400] BRDF_Albedo_Band_Quality_Band4 MOD_Grid_BRDF (8-bit unsigned integer),[2400x2400] BRDF_Albedo_Band_Quality_Band5 MOD_Grid_BRDF (8-bit unsigned integer),[2400x2400] BRDF_Albedo_Band_Quality_Band6 MOD_Grid_BRDF (8-bit unsigned integer),[2400x2400] BRDF_Albedo_Band_Quality_Band7 MOD_Grid_BRDF (8-bit unsigned integer),[2400x2400] BRDF_Albedo_Uncertainty MOD_Grid_BRDF (16-bit unsigned integer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43A3.006,Combined MODIS,Albedo,500,Daily,MOTA,8,30.0,[2400x2400] BRDF_Albedo_Band_Mandatory_Quality_Band1 MOD_Grid_BRDF (8-bit unsigned integer),[2400x2400] BRDF_Albedo_Band_Mandatory_Quality_Band2 MOD_Grid_BRDF (8-bit unsigned integer),[2400x2400] BRDF_Albedo_Band_Mandatory_Quality_Band3 MOD_Grid_BRDF (8-bit unsigned integer),[2400x2400] BRDF_Albedo_Band_Mandatory_Quality_Band4 MOD_Grid_BRDF (8-bit unsigned integer),[2400x2400] BRDF_Albedo_Band_Mandatory_Quality_Band5 MOD_Grid_BRDF (8-bit unsigned integer),[2400x2400] BRDF_Albedo_Band_Mandatory_Quality_Band6 MOD_Grid_BRDF (8-bit unsigned integer),[2400x2400] BRDF_Albedo_Band_Mandatory_Quality_Band7 MOD_Grid_BRDF (8-bit unsigned integer),[2400x2400] BRDF_Albedo_Band_Mandatory_Quality_vis MOD_Grid_BRDF (8-bit unsigned integer),[2400x2400] BRDF_Albedo_Band_Mandatory_Quality_nir MOD_Grid_BRDF (8-bit unsigned integer),[2400x2400] BRDF_Albedo_Band_Mandatory_Quality_shortwave MOD_Grid_BRDF (8-bit unsigned integer),[2400x2400] Albedo_BSA_Band1 MOD_Grid_BRDF (16-bit integer),[2400x2400] Albedo_BSA_Band2 MOD_Grid_BRDF (16-bit integer),[2400x2400] Albedo_BSA_Band3 MOD_Grid_BRDF (16-bit integer),[2400x2400] Albedo_BSA_Band4 MOD_Grid_BRDF (16-bit integer),[2400x2400] Albedo_BSA_Band5 MOD_Grid_BRDF (16-bit integer),[2400x2400] Albedo_BSA_Band6 MOD_Grid_BRDF (16-bit integer),[2400x2400] Albedo_BSA_Band7 MOD_Grid_BRDF (16-bit integer),[2400x2400] Albedo_BSA_vis MOD_Grid_BRDF (16-bit integer),[2400x2400] Albedo_BSA_nir MOD_Grid_BRDF (16-bit integer),[2400x2400] Albedo_BSA_shortwave MOD_Grid_BRDF (16-bit integer),[2400x2400] Albedo_WSA_Band1 MOD_Grid_BRDF (16-bit integer),[2400x2400] Albedo_WSA_Band2 MOD_Grid_BRDF (16-bit integer),[2400x2400] Albedo_WSA_Band3 MOD_Grid_BRDF (16-bit integer),[2400x2400] Albedo_WSA_Band4 MOD_Grid_BRDF (16-bit integer),[2400x2400] Albedo_WSA_Band5 MOD_Grid_BRDF (16-bit integer),[2400x2400] Albedo_WSA_Band6 MOD_Grid_BRDF (16-bit integer),[2400x2400] Albedo_WSA_Band7 MOD_Grid_BRDF (16-bit integer),[2400x2400] Albedo_WSA_vis MOD_Grid_BRDF (16-bit integer),[2400x2400] Albedo_WSA_nir MOD_Grid_BRDF (16-bit integer),[2400x2400] Albedo_WSA_shortwave MOD_Grid_BRDF (16-bit integer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43A4.006,Combined MODIS,"Bidirectional Reflectance Distribution Function (BRDF), Surface Reflectance",500,Daily,MOTA,8,14.0,[2400x2400] BRDF_Albedo_Band_Mandatory_Quality_Band1 MOD_Grid_BRDF (8-bit unsigned integer),[2400x2400] BRDF_Albedo_Band_Mandatory_Quality_Band2 MOD_Grid_BRDF (8-bit unsigned integer),[2400x2400] BRDF_Albedo_Band_Mandatory_Quality_Band3 MOD_Grid_BRDF (8-bit unsigned integer),[2400x2400] BRDF_Albedo_Band_Mandatory_Quality_Band4 MOD_Grid_BRDF (8-bit unsigned integer),[2400x2400] BRDF_Albedo_Band_Mandatory_Quality_Band5 MOD_Grid_BRDF (8-bit unsigned integer),[2400x2400] BRDF_Albedo_Band_Mandatory_Quality_Band6 MOD_Grid_BRDF (8-bit unsigned integer),[2400x2400] BRDF_Albedo_Band_Mandatory_Quality_Band7 MOD_Grid_BRDF (8-bit unsigned integer),[2400x2400] Nadir_Reflectance_Band1 MOD_Grid_BRDF (16-bit integer),[2400x2400] Nadir_Reflectance_Band2 MOD_Grid_BRDF (16-bit integer),[2400x2400] Nadir_Reflectance_Band3 MOD_Grid_BRDF (16-bit integer),[2400x2400] Nadir_Reflectance_Band4 MOD_Grid_BRDF (16-bit integer),[2400x2400] Nadir_Reflectance_Band5 MOD_Grid_BRDF (16-bit integer),[2400x2400] Nadir_Reflectance_Band6 MOD_Grid_BRDF (16-bit integer),[2400x2400] Nadir_Reflectance_Band7 MOD_Grid_BRDF (16-bit integer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43C1.006,Combined MODIS,"Albedo, Bidirectional Reflectance Distribution Function (BRDF)",5600,Daily,MOTA,9,35.0,[3600x7200] BRDF_Albedo_Parameter1_Band1 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter1_Band2 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter1_Band3 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter1_Band4 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter1_Band5 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter1_Band6 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter1_Band7 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter1_vis MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter1_nir MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter1_shortwave MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter2_Band1 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter2_Band2 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter2_Band3 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter2_Band4 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter2_Band5 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter2_Band6 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter2_Band7 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter2_vis MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter2_nir MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter2_shortwave MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter3_Band1 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter3_Band2 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter3_Band3 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter3_Band4 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter3_Band5 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter3_Band6 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter3_Band7 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter3_vis MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter3_nir MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter3_shortwave MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Quality MCD_CMG_BRDF_0.05Deg (8-bit unsigned integer),[3600x7200] Local_Solar_Noon MCD_CMG_BRDF_0.05Deg (8-bit unsigned integer),[3600x7200] Percent_Inputs MCD_CMG_BRDF_0.05Deg (8-bit unsigned integer),[3600x7200] Percent_Snow MCD_CMG_BRDF_0.05Deg (8-bit unsigned integer),[3600x7200] BRDF_Albedo_Uncertainty MCD_CMG_BRDF_0.05Deg (16-bit unsigned integer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43C2.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),5600,Daily,MOTA,9,34.0,[3600x7200] BRDF_Albedo_Parameter1_Band1 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter1_Band2 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter1_Band3 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter1_Band4 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter1_Band5 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter1_Band6 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter1_Band7 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter1_vis MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter1_nir MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter1_shortwave MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter2_Band1 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter2_Band2 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter2_Band3 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter2_Band4 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter2_Band5 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter2_Band6 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter2_Band7 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter2_vis MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter2_nir MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter2_shortwave MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter3_Band1 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter3_Band2 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter3_Band3 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter3_Band4 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter3_Band5 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter3_Band6 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter3_Band7 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter3_vis MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter3_nir MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Albedo_Parameter3_shortwave MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Quality MCD_CMG_BRDF_0.05Deg (8-bit unsigned integer),[3600x7200] Local_Solar_Noon MCD_CMG_BRDF_0.05Deg (8-bit unsigned integer),[3600x7200] Percent_Inputs MCD_CMG_BRDF_0.05Deg (8-bit unsigned integer),[3600x7200] BRDF_Albedo_Uncertainty MCD_CMG_BRDF_0.05Deg (16-bit unsigned integer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43C3.006,Combined MODIS,Albedo,5600,Daily,MOTA,9,25.0,[3600x7200] Albedo_BSA_Band1 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] Albedo_BSA_Band2 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] Albedo_BSA_Band3 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] Albedo_BSA_Band4 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] Albedo_BSA_Band5 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] Albedo_BSA_Band6 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] Albedo_BSA_Band7 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] Albedo_BSA_vis MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] Albedo_BSA_nir MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] Albedo_BSA_shortwave MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] Albedo_WSA_Band1 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] Albedo_WSA_Band2 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] Albedo_WSA_Band3 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] Albedo_WSA_Band4 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] Albedo_WSA_Band5 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] Albedo_WSA_Band6 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] Albedo_WSA_Band7 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] Albedo_WSA_vis MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] Albedo_WSA_nir MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] Albedo_WSA_shortwave MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Quality MCD_CMG_BRDF_0.05Deg (8-bit unsigned integer),[3600x7200] Local_Solar_Noon MCD_CMG_BRDF_0.05Deg (8-bit unsigned integer),[3600x7200] Percent_Inputs MCD_CMG_BRDF_0.05Deg (8-bit unsigned integer),[3600x7200] Percent_Snow MCD_CMG_BRDF_0.05Deg (8-bit unsigned integer),[3600x7200] BRDF_Albedo_Uncertainty MCD_CMG_BRDF_0.05Deg (16-bit unsigned integer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43C4.006,Combined MODIS,"Bidirectional Reflectance Distribution Function (BRDF), Surface Reflectance",5600,Daily,MOTA,9,12.0,[3600x7200] Nadir_Reflectance_Band1 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] Nadir_Reflectance_Band2 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] Nadir_Reflectance_Band3 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] Nadir_Reflectance_Band4 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] Nadir_Reflectance_Band5 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] Nadir_Reflectance_Band6 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] Nadir_Reflectance_Band7 MCD_CMG_BRDF_0.05Deg (16-bit integer),[3600x7200] BRDF_Quality MCD_CMG_BRDF_0.05Deg (8-bit unsigned integer),[3600x7200] Local_Solar_Noon MCD_CMG_BRDF_0.05Deg (8-bit unsigned integer),[3600x7200] Percent_Inputs MCD_CMG_BRDF_0.05Deg (8-bit unsigned integer),[3600x7200] Percent_Snow MCD_CMG_BRDF_0.05Deg (8-bit unsigned integer),[3600x7200] BRDF_Albedo_Uncertainty MCD_CMG_BRDF_0.05Deg (16-bit unsigned integer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D01.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_Parameter1_Band1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D02.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_Parameter2_Band1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D03.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_Parameter3_Band1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D04.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_Parameter1_Band2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D05.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_Parameter2_Band2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D06.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_Parameter3_Band2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D07.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_Parameter1_Band3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D08.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_Parameter2_Band3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D09.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_Parameter3_Band3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D10.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_Parameter1_Band4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D11.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_Parameter2_Band4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D12.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_Parameter3_Band4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D13.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_Parameter1_Band5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D14.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_Parameter2_Band5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D15.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_Parameter3_Band5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D16.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_Parameter1_Band6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D17.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_Parameter2_Band6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D18.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_Parameter3_Band6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D19.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_Parameter1_Band7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
