Short_Name,Collection,Keyword,Spatial_Resolution (m),Temporal_Resolution,Path,Time_lag[d]
MCD43D39.006,Combined MODIS,"Albedo, Bidirectional Reflectance Distribution Function (BRDF), Quality",1000,Daily,MOTA,9999
MCD43D40.006,Combined MODIS,"Albedo, Bidirectional Reflectance Distribution Function (BRDF), Quality",1000,Daily,MOTA,9999
MCD43D41.006,Combined MODIS,"Albedo, Bidirectional Reflectance Distribution Function (BRDF)",1000,Daily,MOTA,9999
MCD43D42.006,Combined MODIS,Albedo,1000,Daily,MOTA,9999
MCD43D43.006,Combined MODIS,Albedo,1000,Daily,MOTA,9999
MCD43D44.006,Combined MODIS,Albedo,1000,Daily,MOTA,9999
MCD43D45.006,Combined MODIS,Albedo,1000,Daily,MOTA,9999
MCD43D46.006,Combined MODIS,Albedo,1000,Daily,MOTA,9999
MCD43D47.006,Combined MODIS,Albedo,1000,Daily,MOTA,9999
MCD43D48.006,Combined MODIS,Albedo,1000,Daily,MOTA,9999
MCD43D49.006,Combined MODIS,Albedo,1000,Daily,MOTA,9999
MCD43D50.006,Combined MODIS,Albedo,1000,Daily,MOTA,9999
MCD43D51.006,Combined MODIS,Albedo,1000,Daily,MOTA,9999
MCD43D52.006,Combined MODIS,Albedo,1000,Daily,MOTA,9999
MCD43D53.006,Combined MODIS,Albedo,1000,Daily,MOTA,9999
MCD43D54.006,Combined MODIS,Albedo,1000,Daily,MOTA,9999
MCD43D55.006,Combined MODIS,Albedo,1000,Daily,MOTA,9999
MCD43D56.006,Combined MODIS,Albedo,1000,Daily,MOTA,9999
MCD43D57.006,Combined MODIS,Albedo,1000,Daily,MOTA,9999
MCD43D58.006,Combined MODIS,Albedo,1000,Daily,MOTA,9999
MCD43D59.006,Combined MODIS,Albedo,1000,Daily,MOTA,9999
MCD43D60.006,Combined MODIS,Albedo,1000,Daily,MOTA,9999
MCD43D61.006,Combined MODIS,Albedo,1000,Daily,MOTA,9999
MCD43D62.006,Combined MODIS,"Bidirectional Reflectance Distribution Function (BRDF), Surface Reflectance",1000,Daily,MOTA,9999
MCD43D63.006,Combined MODIS,"Bidirectional Reflectance Distribution Function (BRDF), Surface Reflectance",1000,Daily,MOTA,9999
MCD43D64.006,Combined MODIS,"Bidirectional Reflectance Distribution Function (BRDF), Surface Reflectance",1000,Daily,MOTA,9999
